//|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|0|;
'QB-P',"Scrambling Drill","Stress the importance of buying time in the pocket +Btk +Car +Acc +Agi"|;Wgt|0|;Spd|0|;Acc|.03|;Agi|.03|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|.02|;Jmp|0|;Btk|.02|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|3|;
'QB-P',"Routes + Progression","Work on progressing through your routes +ThA +Awr"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.06|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|.04|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|.1|;
'QB-P',"Deep Patterns","Build arm strength and accuracy on deep balls by throwing deep routes +ThP +Tha"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|.08|;Tha|.02|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'HB-P',"Pass Blocking","Work on protecting the QB +Pbk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|.1|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|.1|;
'HB-P',"Gauntlet","Focus on ball security and leg power +Car +Btk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|.06|;Jmp|0|;Btk|.04|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|5|;
'HB-P',"Relay Drill","Quick burst drill that improves quickness +Acc +Agi"|;Wgt|0|;Spd|0|;Acc|.06|;Agi|.04|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|4|;
'HB-P',"Pass Paterns","Run pass routes and catch balls +Cat +Awr"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.04|;Cat|.06|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'HB-P',"Kick/Punt Returns","Work on the players ability to field kicks/punts +KR"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|.1|;%Inj|5|;
'FB-P',"Pass Blocking","Work on protecting the QB +Pbk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|.1|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|.1|;
'FB-P',"Gauntlet","Focus on ball security and leg power +Car +Btk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|.06|;Jmp|0|;Btk|.04|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|5|;
'FB-P',"Relay Drill","Quick burst drill that improves quickness +Acc +Agi"|;Wgt|0|;Spd|0|;Acc|.06|;Agi|.04|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|4|;
'FB-P',"Pass Paterns","Run pass routes and catch balls +Cat +Awr"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.04|;Cat|.06|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'FB-P',"Run Blocking","Work on leg power and drive blocking +Rbk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|.1|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'WR-P',"WR Release","Stress ball snap reaction time +Acc +Agi +Awr"|;Wgt|0|;Spd|0|;Acc|.05|;Agi|.04|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.0.1|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|7|;
'WR-P',"Route Running","Dry run through your pass patterns +Awr"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.1|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|.1|;
'WR-P',"Gauntlet","Focus on ball security and leg power +Car +Btk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|.06|;Jmp|0|;Btk|.04|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|5|;
'WR-P',"Jump Balls","Throw it up and let 'um go get it +Jmp +Cat"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|.03|;Car|0|;Jmp|.07|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|6|;
'WR-P',"Pass Patterns","Run pass routes and catch balls +Cat +Awr"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|.04|;Cat|.06|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'WR-P',"Run Blocking","Work on leg power and drive blocking +Rbk"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|.1|;KP|0|;KA|0|;KR|0|;%Inj|2|;
'WR-P',"Kick/Punt Returns","Work on the players ability to field kicks/punts +KR"|;Wgt|0|;Spd|0|;Acc|0|;Agi|0|;Str|0|;Stm|0|;Inj|0|;Tgh|0|;Mor|0|;Awr|0|;Cat|0|;Car|0|;Jmp|0|;Btk|0|;Tkl|0|;Thp|0|;Tha|0|;Pbk|0|;Rbk|0|;KP|0|;KA|0|;KR|.1|;%Inj|5|;
